id,status,date_created_gmt,payment_method,type
1001,wc-processing,2026-09-20 09:12:04,stripe,shop_order
1002,wc-completed,2026-09-20 11:40:51,stripe,shop_order
1003,wc-pending,2026-09-21 14:03:27,stripe,shop_order
1004,wc-cancelled,2026-09-22 08:55:10,stripe,shop_order
1005,wc-on-hold,2026-09-22 16:21:45,stripe_sepa,shop_order
1006,wc-pending,2026-09-23 10:02:13,stripe,shop_order
1007,wc-cancelled,2026-09-23 18:47:30,stripe,shop_order
1008,wc-failed,2026-09-24 07:15:02,stripe,shop_order
1009,wc-processing,2026-09-24 12:30:59,ppcp-gateway,shop_order
1010,wc-refunded,2026-09-24 20:11:36,stripe,shop_order
1011,wc-completed,2026-09-25 09:20:00,,shop_order_refund
1012,wc-completed,2026-09-25 13:44:18,stripe,shop_order
1013,wc-cancelled,2026-09-25 17:05:41,stripe,shop_order
1014,wc-on-hold,2026-09-26 09:30:12,stripe,shop_order
